adulteration_id,product_name,brand,category,adulterant,detection_date,detection_method,severity,health_risk,action_taken
526,Yogurt,BrandA,Bakery,Coloring agents,3/1/2024,Spectroscopy,Severe,High,Investigation Launched
527,Beef,BrandE,Bakery,Chalk,6/4/2024,Spectroscopy,Moderate,Low,Fine Imposed
528,Wine,BrandA,Dairy,Melamine,3/16/2024,Microbiological Analysis,Minor,Low,Warning Issued
529,Bread,BrandC,Condiments,Chalk,1/4/2024,Sensory Evaluation,Moderate,Low,Warning Issued
530,Honey,BrandB,Beverages,Artificial sweeteners,4/26/2024,Chemical Analysis,Minor,Medium,Product Recall
531,Wine,BrandC,Dairy,Coloring agents,6/27/2024,Spectroscopy,Moderate,High,Product Recall
532,Wine,BrandD,Condiments,Artificial sweeteners,6/5/2024,Spectroscopy,Severe,Low,Product Recall
533,Chicken,BrandA,Condiments,Water,1/11/2024,Sensory Evaluation,Severe,Medium,Investigation Launched
534,Chicken,BrandE,Meat,Chalk,3/28/2024,Spectroscopy,Severe,Low,Investigation Launched
535,Chicken,BrandA,Beverages,Chalk,1/17/2024,Spectroscopy,Moderate,Low,Fine Imposed
536,Beef,BrandE,Dairy,Water,1/15/2024,Spectroscopy,Moderate,High,Product Recall
537,Juice,BrandA,Condiments,Water,2/7/2024,Sensory Evaluation,Minor,Medium,Warning Issued
538,Chicken,BrandD,Beverages,Melamine,1/9/2024,Microbiological Analysis,Minor,Low,Product Recall
539,Juice,BrandA,Meat,Artificial sweeteners,3/5/2024,Microbiological Analysis,Moderate,Medium,Fine Imposed
540,Wine,BrandA,Dairy,Water,3/11/2024,Sensory Evaluation,Minor,High,Investigation Launched
541,Beef,BrandA,Dairy,Water,5/19/2024,Sensory Evaluation,Minor,Low,Product Recall
542,Bread,BrandB,Bakery,Artificial sweeteners,1/14/2024,Chemical Analysis,Severe,Low,Fine Imposed
543,Juice,BrandE,Bakery,Artificial sweeteners,1/9/2024,Microbiological Analysis,Severe,Medium,Investigation Launched
544,Yogurt,BrandB,Condiments,Artificial sweeteners,4/16/2024,Microbiological Analysis,Minor,Medium,Warning Issued
545,Yogurt,BrandC,Meat,Artificial sweeteners,3/20/2024,Microbiological Analysis,Moderate,Medium,Product Recall
546,Milk,BrandD,Condiments,Chalk,2/15/2024,Microbiological Analysis,Minor,Medium,Investigation Launched
547,Butter,BrandC,Beverages,Melamine,2/5/2024,Chemical Analysis,Moderate,Medium,Fine Imposed
548,Chicken,BrandD,Beverages,Melamine,4/7/2024,Sensory Evaluation,Minor,Medium,Warning Issued
549,Cheese,BrandA,Bakery,Chalk,4/22/2024,Spectroscopy,Severe,Low,Fine Imposed
550,Juice,BrandD,Meat,Melamine,6/22/2024,Microbiological Analysis,Moderate,High,Product Recall
551,Wine,BrandB,Bakery,Artificial sweeteners,1/19/2024,Sensory Evaluation,Minor,High,Fine Imposed
552,Juice,BrandE,Condiments,Coloring agents,1/27/2024,Sensory Evaluation,Severe,Low,Product Recall
553,Beef,BrandB,Beverages,Melamine,3/31/2024,Microbiological Analysis,Severe,Low,Product Recall
554,Chicken,BrandC,Dairy,Artificial sweeteners,1/23/2024,Spectroscopy,Minor,High,Investigation Launched
555,Juice,BrandE,Dairy,Melamine,1/29/2024,Microbiological Analysis,Minor,High,Product Recall
556,Cheese,BrandE,Dairy,Melamine,1/15/2024,Chemical Analysis,Moderate,Low,Fine Imposed
557,Milk,BrandA,Condiments,Chalk,3/5/2024,Sensory Evaluation,Moderate,Medium,Investigation Launched
558,Bread,BrandC,Condiments,Water,6/19/2024,Sensory Evaluation,Minor,Medium,Product Recall
559,Milk,BrandA,Beverages,Coloring agents,1/23/2024,Microbiological Analysis,Severe,High,Investigation Launched
560,Milk,BrandA,Dairy,Melamine,4/11/2024,Spectroscopy,Severe,Medium,Fine Imposed
561,Wine,BrandC,Beverages,Water,4/28/2024,Microbiological Analysis,Moderate,Low,Product Recall
562,Wine,BrandB,Dairy,Water,5/3/2024,Microbiological Analysis,Minor,Medium,Fine Imposed
563,Yogurt,BrandB,Bakery,Melamine,2/5/2024,Spectroscopy,Minor,High,Fine Imposed
564,Beef,BrandD,Condiments,Melamine,4/10/2024,Spectroscopy,Severe,Low,Fine Imposed
565,Bread,BrandC,Dairy,Melamine,1/18/2024,Sensory Evaluation,Moderate,Medium,Fine Imposed
566,Bread,BrandD,Meat,Artificial sweeteners,3/30/2024,Chemical Analysis,Severe,Low,Warning Issued
567,Cheese,BrandB,Condiments,Water,3/10/2024,Microbiological Analysis,Severe,Low,Investigation Launched
568,Juice,BrandC,Meat,Artificial sweeteners,2/9/2024,Spectroscopy,Severe,High,Product Recall
569,Milk,BrandD,Meat,Artificial sweeteners,6/24/2024,Sensory Evaluation,Minor,Low,Warning Issued
570,Beef,BrandA,Meat,Melamine,6/9/2024,Microbiological Analysis,Severe,Medium,Fine Imposed
571,Milk,BrandC,Dairy,Coloring agents,6/23/2024,Microbiological Analysis,Severe,High,Product Recall
572,Butter,BrandE,Meat,Melamine,1/10/2024,Microbiological Analysis,Minor,Low,Product Recall
573,Chicken,BrandD,Meat,Water,3/11/2024,Chemical Analysis,Minor,Low,Product Recall
574,Cheese,BrandC,Dairy,Artificial sweeteners,5/7/2024,Sensory Evaluation,Moderate,Medium,Product Recall
575,Beef,BrandC,Beverages,Coloring agents,1/17/2024,Sensory Evaluation,Moderate,High,Investigation Launched
576,Yogurt,BrandD,Dairy,Melamine,1/23/2024,Sensory Evaluation,Severe,Medium,Warning Issued
577,Beef,BrandE,Bakery,Artificial sweeteners,6/6/2024,Chemical Analysis,Moderate,Low,Warning Issued
578,Milk,BrandD,Beverages,Water,2/15/2024,Sensory Evaluation,Moderate,Medium,Fine Imposed
579,Bread,BrandB,Meat,Melamine,3/6/2024,Sensory Evaluation,Minor,Low,Fine Imposed
580,Bread,BrandC,Bakery,Artificial sweeteners,4/5/2024,Microbiological Analysis,Severe,High,Product Recall
581,Bread,BrandB,Meat,Water,6/28/2024,Sensory Evaluation,Minor,Low,Fine Imposed
582,Beef,BrandC,Meat,Coloring agents,6/7/2024,Spectroscopy,Severe,Medium,Warning Issued
583,Milk,BrandD,Meat,Chalk,2/3/2024,Spectroscopy,Moderate,Medium,Product Recall
584,Honey,BrandB,Bakery,Chalk,1/20/2024,Spectroscopy,Minor,Low,Warning Issued
585,Wine,BrandA,Beverages,Artificial sweeteners,5/27/2024,Chemical Analysis,Moderate,Medium,Warning Issued
586,Yogurt,BrandC,Meat,Chalk,3/7/2024,Chemical Analysis,Moderate,Medium,Investigation Launched
587,Wine,BrandE,Dairy,Melamine,4/19/2024,Spectroscopy,Minor,Medium,Investigation Launched
588,Chicken,BrandB,Meat,Chalk,3/25/2024,Spectroscopy,Severe,Low,Warning Issued
589,Bread,BrandC,Bakery,Melamine,2/11/2024,Spectroscopy,Moderate,Low,Fine Imposed
590,Butter,BrandC,Condiments,Melamine,3/14/2024,Sensory Evaluation,Severe,Medium,Investigation Launched
591,Wine,BrandD,Beverages,Water,2/4/2024,Sensory Evaluation,Minor,High,Investigation Launched
592,Juice,BrandD,Dairy,Melamine,2/18/2024,Sensory Evaluation,Minor,Low,Investigation Launched
593,Beef,BrandD,Condiments,Water,4/30/2024,Spectroscopy,Moderate,High,Product Recall
594,Honey,BrandD,Beverages,Coloring agents,6/10/2024,Spectroscopy,Moderate,Low,Fine Imposed
595,Juice,BrandC,Dairy,Water,1/16/2024,Spectroscopy,Severe,Low,Investigation Launched
596,Milk,BrandC,Bakery,Chalk,2/9/2024,Sensory Evaluation,Severe,Low,Warning Issued
597,Wine,BrandC,Bakery,Chalk,1/27/2024,Spectroscopy,Severe,High,Investigation Launched
598,Milk,BrandB,Bakery,Water,5/26/2024,Sensory Evaluation,Severe,Medium,Fine Imposed
599,Wine,BrandA,Bakery,Melamine,3/1/2024,Spectroscopy,Minor,High,Product Recall
600,Bread,BrandA,Meat,Water,3/2/2024,Chemical Analysis,Moderate,Medium,Product Recall
601,Yogurt,BrandD,Beverages,Artificial sweeteners,4/30/2024,Microbiological Analysis,Moderate,Medium,Investigation Launched
602,Wine,BrandC,Dairy,Chalk,6/2/2024,Chemical Analysis,Severe,High,Warning Issued
603,Beef,BrandE,Bakery,Water,2/1/2024,Microbiological Analysis,Moderate,Medium,Investigation Launched
604,Wine,BrandC,Condiments,Artificial sweeteners,4/29/2024,Sensory Evaluation,Minor,High,Investigation Launched
605,Milk,BrandD,Dairy,Chalk,4/18/2024,Microbiological Analysis,Moderate,High,Product Recall
606,Honey,BrandC,Beverages,Melamine,3/17/2024,Sensory Evaluation,Minor,Low,Fine Imposed
607,Wine,BrandC,Condiments,Melamine,1/20/2024,Sensory Evaluation,Minor,High,Product Recall
608,Yogurt,BrandC,Beverages,Melamine,5/13/2024,Microbiological Analysis,Minor,Low,Fine Imposed
609,Cheese,BrandC,Condiments,Melamine,2/26/2024,Sensory Evaluation,Moderate,High,Investigation Launched
610,Yogurt,BrandA,Meat,Coloring agents,6/10/2024,Spectroscopy,Moderate,High,Warning Issued
611,Juice,BrandD,Condiments,Coloring agents,3/7/2024,Sensory Evaluation,Severe,Low,Product Recall
612,Bread,BrandE,Condiments,Artificial sweeteners,6/8/2024,Microbiological Analysis,Moderate,Medium,Fine Imposed
613,Butter,BrandD,Beverages,Melamine,4/15/2024,Chemical Analysis,Moderate,Medium,Investigation Launched
614,Cheese,BrandC,Beverages,Water,6/21/2024,Microbiological Analysis,Moderate,High,Product Recall
615,Chicken,BrandE,Beverages,Coloring agents,6/5/2024,Sensory Evaluation,Severe,High,Investigation Launched
616,Milk,BrandD,Condiments,Melamine,5/3/2024,Chemical Analysis,Severe,Low,Warning Issued
617,Milk,BrandE,Condiments,Artificial sweeteners,6/8/2024,Sensory Evaluation,Severe,Low,Fine Imposed
618,Butter,BrandE,Meat,Coloring agents,4/20/2024,Microbiological Analysis,Severe,High,Warning Issued
619,Milk,BrandA,Dairy,Water,3/9/2024,Microbiological Analysis,Severe,Medium,Fine Imposed
620,Wine,BrandD,Meat,Water,4/10/2024,Spectroscopy,Minor,Low,Investigation Launched
621,Milk,BrandA,Dairy,Melamine,3/23/2024,Sensory Evaluation,Severe,High,Fine Imposed
622,Beef,BrandB,Beverages,Chalk,4/15/2024,Sensory Evaluation,Severe,Low,Product Recall
623,Bread,BrandA,Beverages,Chalk,6/10/2024,Chemical Analysis,Severe,Medium,Product Recall
624,Honey,BrandE,Beverages,Artificial sweeteners,6/21/2024,Spectroscopy,Moderate,Medium,Fine Imposed
625,Cheese,BrandD,Meat,Melamine,4/9/2024,Microbiological Analysis,Moderate,High,Warning Issued
626,Chicken,BrandE,Condiments,Melamine,5/8/2024,Sensory Evaluation,Severe,High,Product Recall
627,Beef,BrandE,Dairy,Melamine,1/16/2024,Spectroscopy,Moderate,Medium,Fine Imposed
628,Milk,BrandC,Dairy,Water,1/3/2024,Spectroscopy,Moderate,Low,Product Recall
629,Bread,BrandC,Dairy,Coloring agents,1/23/2024,Spectroscopy,Minor,High,Investigation Launched
630,Honey,BrandC,Bakery,Water,1/16/2024,Spectroscopy,Minor,Medium,Product Recall
631,Bread,BrandD,Bakery,Chalk,3/14/2024,Sensory Evaluation,Severe,Medium,Product Recall
632,Beef,BrandE,Dairy,Melamine,6/28/2024,Sensory Evaluation,Minor,High,Warning Issued
633,Yogurt,BrandB,Condiments,Chalk,5/28/2024,Spectroscopy,Severe,High,Warning Issued
634,Yogurt,BrandD,Beverages,Water,2/22/2024,Chemical Analysis,Minor,Low,Product Recall
635,Bread,BrandE,Beverages,Chalk,4/10/2024,Chemical Analysis,Severe,Low,Investigation Launched
636,Chicken,BrandE,Dairy,Coloring agents,1/31/2024,Sensory Evaluation,Moderate,High,Product Recall
637,Yogurt,BrandB,Beverages,Melamine,4/14/2024,Microbiological Analysis,Minor,Low,Product Recall
638,Yogurt,BrandE,Beverages,Coloring agents,6/29/2024,Spectroscopy,Minor,High,Warning Issued
639,Beef,BrandE,Condiments,Artificial sweeteners,4/15/2024,Sensory Evaluation,Moderate,Low,Product Recall
640,Honey,BrandB,Condiments,Artificial sweeteners,4/22/2024,Chemical Analysis,Severe,High,Warning Issued
641,Chicken,BrandC,Meat,Artificial sweeteners,1/15/2024,Chemical Analysis,Severe,Low,Product Recall
642,Wine,BrandB,Beverages,Water,5/21/2024,Spectroscopy,Moderate,Medium,Warning Issued
643,Juice,BrandC,Bakery,Chalk,1/26/2024,Chemical Analysis,Moderate,Medium,Fine Imposed
644,Milk,BrandE,Meat,Artificial sweeteners,4/4/2024,Spectroscopy,Moderate,Low,Fine Imposed
645,Honey,BrandA,Meat,Melamine,3/29/2024,Chemical Analysis,Moderate,High,Warning Issued
646,Butter,BrandC,Bakery,Artificial sweeteners,2/10/2024,Chemical Analysis,Severe,Low,Product Recall
647,Cheese,BrandC,Condiments,Water,3/9/2024,Microbiological Analysis,Minor,Low,Warning Issued
648,Cheese,BrandC,Beverages,Melamine,2/26/2024,Microbiological Analysis,Minor,Low,Product Recall
649,Beef,BrandB,Bakery,Chalk,3/14/2024,Sensory Evaluation,Severe,Medium,Investigation Launched
650,Honey,BrandD,Meat,Coloring agents,2/16/2024,Chemical Analysis,Moderate,High,Product Recall
651,Cheese,BrandD,Meat,Coloring agents,6/7/2024,Spectroscopy,Severe,Medium,Fine Imposed
652,Chicken,BrandB,Meat,Chalk,3/16/2024,Spectroscopy,Minor,High,Investigation Launched
653,Bread,BrandE,Dairy,Artificial sweeteners,5/18/2024,Sensory Evaluation,Moderate,Low,Product Recall
654,Beef,BrandD,Dairy,Coloring agents,3/29/2024,Microbiological Analysis,Moderate,High,Warning Issued
655,Cheese,BrandB,Dairy,Melamine,1/24/2024,Microbiological Analysis,Severe,Medium,Warning Issued
656,Bread,BrandC,Beverages,Artificial sweeteners,6/26/2024,Spectroscopy,Severe,Medium,Fine Imposed
657,Honey,BrandE,Meat,Chalk,1/10/2024,Spectroscopy,Moderate,Low,Investigation Launched
658,Cheese,BrandE,Bakery,Coloring agents,3/9/2024,Microbiological Analysis,Moderate,Low,Fine Imposed
659,Bread,BrandE,Meat,Coloring agents,1/22/2024,Spectroscopy,Minor,High,Investigation Launched
660,Honey,BrandD,Condiments,Melamine,4/1/2024,Chemical Analysis,Moderate,High,Product Recall
661,Wine,BrandA,Dairy,Coloring agents,3/11/2024,Microbiological Analysis,Severe,Low,Warning Issued
662,Butter,BrandC,Beverages,Chalk,6/30/2024,Microbiological Analysis,Severe,Medium,Product Recall
663,Butter,BrandB,Condiments,Artificial sweeteners,5/13/2024,Microbiological Analysis,Moderate,Medium,Product Recall
664,Honey,BrandA,Bakery,Water,3/25/2024,Microbiological Analysis,Moderate,Medium,Product Recall
665,Juice,BrandE,Dairy,Melamine,5/20/2024,Chemical Analysis,Moderate,Low,Product Recall
666,Juice,BrandA,Beverages,Artificial sweeteners,1/31/2024,Spectroscopy,Severe,High,Warning Issued
667,Wine,BrandE,Meat,Water,3/25/2024,Microbiological Analysis,Minor,Low,Product Recall
668,Wine,BrandE,Bakery,Artificial sweeteners,6/13/2024,Microbiological Analysis,Severe,Low,Product Recall
669,Cheese,BrandC,Bakery,Coloring agents,3/19/2024,Microbiological Analysis,Minor,Low,Warning Issued
670,Beef,BrandA,Meat,Melamine,6/17/2024,Spectroscopy,Moderate,Medium,Fine Imposed
671,Bread,BrandC,Condiments,Water,2/29/2024,Chemical Analysis,Minor,High,Fine Imposed
672,Butter,BrandC,Condiments,Water,1/14/2024,Spectroscopy,Moderate,Low,Warning Issued
673,Cheese,BrandD,Meat,Coloring agents,5/27/2024,Spectroscopy,Minor,Low,Warning Issued
674,Honey,BrandE,Bakery,Artificial sweeteners,6/12/2024,Sensory Evaluation,Minor,Low,Investigation Launched
675,Cheese,BrandA,Condiments,Coloring agents,6/13/2024,Chemical Analysis,Minor,High,Warning Issued
676,Yogurt,BrandC,Beverages,Chalk,2/16/2024,Chemical Analysis,Severe,Low,Fine Imposed
677,Yogurt,BrandD,Bakery,Artificial sweeteners,3/9/2024,Microbiological Analysis,Severe,Low,Investigation Launched
678,Bread,BrandA,Condiments,Water,1/16/2024,Sensory Evaluation,Moderate,Medium,Fine Imposed
679,Butter,BrandC,Condiments,Melamine,2/12/2024,Spectroscopy,Severe,High,Investigation Launched
680,Bread,BrandD,Meat,Water,5/11/2024,Chemical Analysis,Severe,Low,Warning Issued
681,Bread,BrandC,Condiments,Coloring agents,1/28/2024,Microbiological Analysis,Severe,Medium,Warning Issued
682,Milk,BrandC,Dairy,Coloring agents,1/30/2024,Chemical Analysis,Moderate,High,Warning Issued
683,Juice,BrandD,Bakery,Artificial sweeteners,5/3/2024,Microbiological Analysis,Severe,Low,Fine Imposed
684,Wine,BrandC,Bakery,Water,4/18/2024,Sensory Evaluation,Minor,Medium,Warning Issued
685,Juice,BrandB,Bakery,Chalk,1/10/2024,Sensory Evaluation,Severe,Medium,Investigation Launched
686,Chicken,BrandB,Dairy,Water,5/26/2024,Chemical Analysis,Severe,Low,Fine Imposed
687,Beef,BrandC,Bakery,Chalk,2/8/2024,Sensory Evaluation,Minor,Low,Warning Issued
688,Juice,BrandC,Meat,Melamine,2/25/2024,Spectroscopy,Severe,High,Product Recall
689,Beef,BrandE,Dairy,Melamine,3/1/2024,Chemical Analysis,Severe,Medium,Investigation Launched
690,Cheese,BrandB,Bakery,Coloring agents,4/16/2024,Chemical Analysis,Severe,Low,Warning Issued
691,Honey,BrandC,Bakery,Melamine,1/15/2024,Microbiological Analysis,Moderate,Medium,Warning Issued
692,Wine,BrandD,Beverages,Artificial sweeteners,3/1/2024,Microbiological Analysis,Moderate,Medium,Fine Imposed
693,Wine,BrandA,Dairy,Chalk,5/4/2024,Microbiological Analysis,Severe,Medium,Product Recall
694,Bread,BrandB,Dairy,Coloring agents,6/25/2024,Sensory Evaluation,Moderate,Low,Fine Imposed
695,Wine,BrandD,Beverages,Melamine,2/27/2024,Sensory Evaluation,Moderate,High,Investigation Launched
696,Yogurt,BrandD,Dairy,Water,4/9/2024,Microbiological Analysis,Severe,Medium,Warning Issued
697,Juice,BrandD,Bakery,Artificial sweeteners,3/7/2024,Spectroscopy,Severe,High,Investigation Launched
698,Yogurt,BrandD,Bakery,Chalk,5/8/2024,Spectroscopy,Moderate,Low,Fine Imposed
699,Beef,BrandC,Bakery,Water,5/13/2024,Sensory Evaluation,Severe,Medium,Fine Imposed
700,Chicken,BrandA,Meat,Coloring agents,5/10/2024,Microbiological Analysis,Minor,Low,Fine Imposed
701,Yogurt,BrandB,Bakery,Chalk,4/26/2024,Sensory Evaluation,Moderate,Medium,Investigation Launched
702,Chicken,BrandC,Condiments,Chalk,5/23/2024,Microbiological Analysis,Minor,High,Warning Issued
703,Honey,BrandA,Condiments,Artificial sweeteners,1/9/2024,Sensory Evaluation,Moderate,Low,Product Recall
704,Beef,BrandB,Beverages,Water,4/8/2024,Sensory Evaluation,Minor,Low,Fine Imposed
705,Butter,BrandA,Condiments,Water,1/21/2024,Chemical Analysis,Minor,High,Product Recall
706,Chicken,BrandE,Bakery,Artificial sweeteners,2/5/2024,Chemical Analysis,Minor,High,Product Recall
707,Cheese,BrandD,Dairy,Artificial sweeteners,6/2/2024,Microbiological Analysis,Minor,High,Fine Imposed
708,Honey,BrandD,Bakery,Chalk,1/3/2024,Microbiological Analysis,Minor,Low,Investigation Launched
709,Juice,BrandC,Condiments,Chalk,1/31/2024,Spectroscopy,Minor,Medium,Product Recall
710,Yogurt,BrandE,Bakery,Coloring agents,2/24/2024,Microbiological Analysis,Moderate,Medium,Product Recall
711,Cheese,BrandE,Meat,Water,4/26/2024,Chemical Analysis,Severe,High,Product Recall
712,Yogurt,BrandB,Bakery,Chalk,4/5/2024,Spectroscopy,Severe,Low,Product Recall
713,Milk,BrandC,Bakery,Chalk,5/31/2024,Spectroscopy,Minor,Low,Investigation Launched
714,Milk,BrandE,Bakery,Water,2/8/2024,Sensory Evaluation,Minor,Low,Fine Imposed
715,Beef,BrandC,Dairy,Artificial sweeteners,5/24/2024,Microbiological Analysis,Severe,Medium,Fine Imposed
716,Cheese,BrandB,Condiments,Coloring agents,6/19/2024,Microbiological Analysis,Severe,Medium,Warning Issued
717,Bread,BrandB,Condiments,Coloring agents,6/5/2024,Chemical Analysis,Severe,Low,Fine Imposed
718,Juice,BrandE,Beverages,Artificial sweeteners,3/27/2024,Chemical Analysis,Moderate,High,Investigation Launched
719,Bread,BrandA,Beverages,Melamine,4/24/2024,Sensory Evaluation,Minor,Low,Product Recall
720,Chicken,BrandB,Dairy,Coloring agents,1/11/2024,Microbiological Analysis,Moderate,Low,Investigation Launched
721,Juice,BrandB,Condiments,Melamine,2/1/2024,Spectroscopy,Moderate,Low,Warning Issued
722,Milk,BrandE,Dairy,Water,5/6/2024,Chemical Analysis,Severe,High,Fine Imposed
723,Butter,BrandC,Meat,Water,2/9/2024,Spectroscopy,Moderate,High,Warning Issued
724,Bread,BrandA,Beverages,Chalk,4/1/2024,Sensory Evaluation,Severe,High,Warning Issued
725,Beef,BrandB,Dairy,Water,5/28/2024,Sensory Evaluation,Moderate,Medium,Investigation Launched
726,Chicken,BrandC,Condiments,Coloring agents,4/7/2024,Spectroscopy,Moderate,Low,Investigation Launched
727,Yogurt,BrandE,Dairy,Coloring agents,4/9/2024,Sensory Evaluation,Moderate,High,Warning Issued
728,Bread,BrandE,Beverages,Artificial sweeteners,2/28/2024,Sensory Evaluation,Minor,Medium,Warning Issued
729,Milk,BrandB,Dairy,Water,3/22/2024,Spectroscopy,Severe,Low,Fine Imposed
730,Chicken,BrandC,Beverages,Coloring agents,1/9/2024,Sensory Evaluation,Minor,Medium,Fine Imposed
731,Beef,BrandC,Bakery,Water,5/17/2024,Sensory Evaluation,Severe,Medium,Investigation Launched
732,Juice,BrandA,Condiments,Chalk,6/4/2024,Microbiological Analysis,Moderate,Medium,Investigation Launched
733,Honey,BrandE,Meat,Chalk,3/1/2024,Chemical Analysis,Severe,High,Investigation Launched
734,Chicken,BrandA,Bakery,Artificial sweeteners,4/1/2024,Microbiological Analysis,Minor,Medium,Fine Imposed
735,Yogurt,BrandC,Dairy,Chalk,2/23/2024,Microbiological Analysis,Severe,Low,Investigation Launched
736,Chicken,BrandA,Bakery,Artificial sweeteners,5/25/2024,Sensory Evaluation,Moderate,High,Investigation Launched
737,Cheese,BrandB,Dairy,Artificial sweeteners,5/6/2024,Chemical Analysis,Moderate,High,Investigation Launched
738,Yogurt,BrandE,Meat,Coloring agents,3/28/2024,Chemical Analysis,Severe,Low,Fine Imposed
739,Juice,BrandC,Meat,Coloring agents,1/23/2024,Chemical Analysis,Severe,High,Investigation Launched
740,Wine,BrandE,Beverages,Water,4/9/2024,Microbiological Analysis,Moderate,High,Product Recall
741,Butter,BrandD,Dairy,Melamine,2/7/2024,Chemical Analysis,Minor,Low,Warning Issued
742,Milk,BrandA,Meat,Artificial sweeteners,5/7/2024,Microbiological Analysis,Severe,Low,Warning Issued
743,Juice,BrandA,Meat,Water,6/27/2024,Chemical Analysis,Minor,Medium,Fine Imposed
744,Butter,BrandA,Beverages,Artificial sweeteners,2/24/2024,Spectroscopy,Minor,Low,Fine Imposed
745,Juice,BrandD,Meat,Artificial sweeteners,1/9/2024,Microbiological Analysis,Minor,Low,Investigation Launched
746,Butter,BrandC,Meat,Chalk,6/30/2024,Sensory Evaluation,Moderate,Low,Product Recall
747,Cheese,BrandE,Meat,Artificial sweeteners,5/20/2024,Sensory Evaluation,Moderate,Low,Investigation Launched
748,Chicken,BrandB,Condiments,Coloring agents,2/2/2024,Sensory Evaluation,Minor,Medium,Warning Issued
749,Bread,BrandB,Beverages,Melamine,6/4/2024,Sensory Evaluation,Minor,Low,Warning Issued
750,Juice,BrandC,Meat,Chalk,6/3/2024,Microbiological Analysis,Moderate,High,Investigation Launched
751,Cheese,BrandA,Meat,Coloring agents,1/13/2024,Chemical Analysis,Moderate,Medium,Product Recall
752,Wine,BrandD,Meat,Artificial sweeteners,5/12/2024,Sensory Evaluation,Minor,Low,Investigation Launched
753,Honey,BrandB,Bakery,Melamine,5/26/2024,Chemical Analysis,Moderate,Low,Fine Imposed
754,Beef,BrandD,Bakery,Coloring agents,3/22/2024,Spectroscopy,Minor,Medium,Investigation Launched
755,Chicken,BrandE,Dairy,Water,1/12/2024,Spectroscopy,Severe,High,Product Recall
756,Wine,BrandB,Dairy,Coloring agents,5/22/2024,Spectroscopy,Moderate,High,Fine Imposed
757,Honey,BrandA,Meat,Artificial sweeteners,3/26/2024,Microbiological Analysis,Moderate,Medium,Product Recall
758,Cheese,BrandA,Beverages,Water,3/18/2024,Chemical Analysis,Severe,Medium,Investigation Launched
759,Bread,BrandE,Dairy,Artificial sweeteners,3/5/2024,Spectroscopy,Severe,High,Fine Imposed
760,Butter,BrandC,Meat,Water,4/16/2024,Sensory Evaluation,Severe,Medium,Fine Imposed
761,Butter,BrandC,Condiments,Water,3/19/2024,Spectroscopy,Severe,Medium,Investigation Launched
762,Beef,BrandB,Dairy,Artificial sweeteners,2/10/2024,Chemical Analysis,Moderate,Low,Fine Imposed
763,Chicken,BrandA,Condiments,Melamine,4/15/2024,Sensory Evaluation,Minor,Low,Product Recall
764,Bread,BrandC,Condiments,Coloring agents,6/26/2024,Sensory Evaluation,Moderate,Low,Fine Imposed
765,Honey,BrandC,Bakery,Coloring agents,5/16/2024,Sensory Evaluation,Minor,Medium,Product Recall
766,Juice,BrandC,Bakery,Artificial sweeteners,4/23/2024,Spectroscopy,Minor,Medium,Product Recall
767,Beef,BrandD,Beverages,Coloring agents,6/19/2024,Microbiological Analysis,Moderate,Low,Fine Imposed
768,Juice,BrandE,Beverages,Chalk,4/19/2024,Spectroscopy,Severe,High,Product Recall
769,Milk,BrandC,Bakery,Water,2/18/2024,Microbiological Analysis,Minor,Medium,Product Recall
770,Yogurt,BrandE,Condiments,Coloring agents,5/24/2024,Microbiological Analysis,Minor,Low,Fine Imposed
771,Honey,BrandA,Bakery,Artificial sweeteners,3/28/2024,Sensory Evaluation,Minor,Low,Product Recall
772,Chicken,BrandE,Dairy,Water,5/8/2024,Chemical Analysis,Moderate,High,Investigation Launched
773,Wine,BrandD,Bakery,Melamine,1/15/2024,Chemical Analysis,Moderate,High,Product Recall
774,Bread,BrandD,Meat,Melamine,4/23/2024,Sensory Evaluation,Minor,Medium,Warning Issued
775,Milk,BrandB,Meat,Melamine,2/19/2024,Spectroscopy,Severe,High,Warning Issued
776,Wine,BrandB,Beverages,Coloring agents,2/20/2024,Sensory Evaluation,Minor,Medium,Warning Issued
777,Cheese,BrandD,Bakery,Melamine,2/15/2024,Spectroscopy,Severe,High,Investigation Launched
778,Butter,BrandB,Bakery,Artificial sweeteners,6/23/2024,Chemical Analysis,Minor,Low,Fine Imposed
779,Butter,BrandA,Beverages,Coloring agents,1/9/2024,Chemical Analysis,Minor,Low,Investigation Launched
780,Juice,BrandC,Meat,Melamine,2/28/2024,Spectroscopy,Minor,High,Investigation Launched
781,Cheese,BrandD,Beverages,Coloring agents,6/12/2024,Microbiological Analysis,Minor,High,Fine Imposed
782,Honey,BrandE,Meat,Water,3/30/2024,Sensory Evaluation,Severe,High,Fine Imposed
783,Yogurt,BrandA,Beverages,Chalk,5/6/2024,Chemical Analysis,Moderate,High,Fine Imposed
784,Yogurt,BrandC,Dairy,Chalk,6/18/2024,Spectroscopy,Severe,Low,Fine Imposed
785,Chicken,BrandB,Dairy,Coloring agents,4/21/2024,Chemical Analysis,Minor,Low,Investigation Launched
786,Juice,BrandD,Dairy,Chalk,2/17/2024,Sensory Evaluation,Minor,High,Investigation Launched
787,Cheese,BrandD,Condiments,Water,4/30/2024,Sensory Evaluation,Severe,Medium,Fine Imposed
